friendlier_id_hud_acs_5yr_chas_estimate_data_by_county_2016_2020_fields,field_name,field_type_hud_acs_5yr_chas_estimate_data_by_county_2016_2020_fields,definition_hud_acs_5yr_chas_estimate_data_by_county_2016_2020_fields,friendlier_id_hud_acs_5yr_chas_estimate_data_by_county_2016_2020_fields2,definition_hud_acs_5yr_chas_estimate_data_by_county_2016_2020_fields2,match_status,unmatched_source
b1g_joGbEOvFDroC,T7_SF_GT80_LE100,esriFieldTypeDouble,T7_SF_GT80_LE100,b1g_joGbEOvFDroC,"Household income is greater than 80% but less than or equal to 100% of HAMFI AND household type is small family (2 persons, neither person 62 years or over, or 3 or 4 persons)",matched,
b1g_joGbEOvFDroC,T7_LF_GT80_LE100,esriFieldTypeInteger,T7_LF_GT80_LE100,b1g_joGbEOvFDroC,Household income is greater than 80% but less than or equal to 100% of HAMFI AND household type is large family (5 or more persons),matched,
b1g_joGbEOvFDroC,T7_SF_GT100,esriFieldTypeDouble,T7_SF_GT100,b1g_joGbEOvFDroC,"Household income is greater than 100% of HAMFI AND household type is small family (2 persons, neither person 62 years or over, or 3 or 4 persons)",matched,
b1g_joGbEOvFDroC,T7_LF_GT100,esriFieldTypeInteger,T7_LF_GT100,b1g_joGbEOvFDroC,Household income is greater than 100% of HAMFI AND household type is large family (5 or more persons),matched,
b1g_joGbEOvFDroC,T13_LE30_CHL,esriFieldTypeInteger,T13_LE30_CHL,b1g_joGbEOvFDroC,Household income is less than or equal to 30% of HAMFI AND household contains 1 or more children age 6 or younger,matched,
b1g_joGbEOvFDroC,T13_GT30_LE50_CHL,esriFieldTypeInteger,T13_GT30_LE50_CHL,b1g_joGbEOvFDroC,Household income is greater than 30% but less than or equal to 50% of HAMFI AND household contains 1 or more children age 6 or younger,matched,
b1g_joGbEOvFDroC,T13_GT50_LE80_CHL,esriFieldTypeInteger,T13_GT50_LE80_CHL,b1g_joGbEOvFDroC,Household income is greater than 50% but less than or equal to 80% of HAMFI AND household contains 1 or more children age 6 or younger,matched,
b1g_joGbEOvFDroC,T13_GT80_LE100_CHL,esriFieldTypeDouble,T13_GT80_LE100_CHL,b1g_joGbEOvFDroC,Household income is greater than 80% but less than or equal to 100% of HAMFI  AND household contains 1 or more children age 6 or younger,matched,
b1g_joGbEOvFDroC,T13_GT100_CHL,esriFieldTypeInteger,T13_GT100_CHL,b1g_joGbEOvFDroC,Household income is greater than 100% of HAMFI  AND household contains 1 or more children age 6 or younger,matched,
b1g_joGbEOvFDroC,T5_LE30_ELD,esriFieldTypeInteger,T5_LE30_ELD,b1g_joGbEOvFDroC,Household income is less than or equal to 30% of HAMFI AND household contains at least 1 person age 62-74 but no one age 75+,matched,
b1g_joGbEOvFDroC,T5_GT30_LE50_ELD,esriFieldTypeInteger,T5_GT30_LE50_ELD,b1g_joGbEOvFDroC,Household income is greater than 30% but less than or equal to 50% of HAMFI AND household contains at least 1 person age 62-74 but no one age 75+,matched,
b1g_joGbEOvFDroC,T5_GT50_LE80_ELD,esriFieldTypeInteger,T5_GT50_LE80_ELD,b1g_joGbEOvFDroC,Household income is greater than 50% but less than or equal to 80% of HAMFI AND household contains at least 1 person age 62-74 but no one age 75+,matched,
b1g_joGbEOvFDroC,T5_GT80_LE100_ELD,esriFieldTypeInteger,T5_GT80_LE100_ELD,b1g_joGbEOvFDroC,Household income is greater than 80% but less than or equal to 100% of HAMFI AND household contains at least 1 person age 62-74 but no one age 75+,matched,
