friendlier_id,field_name,field_type,values,definition,definition_source,parent_field_name,position
b1g_8XwiAQ81HSby,T7_LE30_ELD_CB_O,esriFieldTypeInteger,,"Owner occupied AND household income is less than or equal to 30% of HAMFI AND household type is elderly (elderly non-family household or family household with 2 people, at least one of which is elderly) AND housing cost burden is greater than 30%",,,
b1g_8XwiAQ81HSby,T7_GT30_LE50_ELD_CB_O,esriFieldTypeInteger,,"Owner occupied AND household income is greater than 30% but less than or equal to 50% of HAMFI AND household type is elderly (elderly non-family household or family household with 2 people, at least one of which is elderly) AND housing cost burden is greater than 30%",,,
b1g_8XwiAQ81HSby,T7_GT50_LE80_ELD_CB_O,esriFieldTypeInteger,,"Owner occupied AND household income is greater than 50% but less than or equal to 80% of HAMFI AND household type is elderly (elderly non-family household or family household with 2 people, at least one of which is elderly) AND housing cost burden is greater than 30%",,,
b1g_8XwiAQ81HSby,T7_ELD_CB_O,esriFieldTypeInteger,,"Owner occupied AND household type is elderly (elderly non-family household or family household with 2 people, at least one of which is elderly) AND housing cost burden is greater than 30%",,,
b1g_8XwiAQ81HSby,T7_LE30_OTHER_CB_R,esriFieldTypeInteger,,Renter occupied AND household income is less than or equal to 30% of HAMFI AND other household type (non-elderly non-family) AND housing cost burden is greater than 30%,,,
b1g_8XwiAQ81HSby,T7_GT30_LE50_OTHER_CB_R,esriFieldTypeInteger,,Renter occupied AND household income is greater than 30% but less than or equal to 50% of HAMFI AND other household type (non-elderly non-family) AND housing cost burden is greater than 30%,,,
b1g_8XwiAQ81HSby,T7_GT50_LE80_OTHER_CB_R,esriFieldTypeInteger,,Renter occupied AND household income is greater than 50% but less than or equal to 80% of HAMFI AND other household type (non-elderly non-family) AND housing cost burden is greater than 30%,,,
b1g_8XwiAQ81HSby,T7_OTHER_CB_R,esriFieldTypeInteger,,Renter occupied AND other household type (non-elderly non-family) AND housing cost burden is greater than 30%,,,
b1g_8XwiAQ81HSby,T7_LE30_OTHER_CB_O,esriFieldTypeInteger,,Owner occupied AND household income is less than or equal to 30% of HAMFI AND other household type (non-elderly non-family) AND housing cost burden is greater than 30%,,,
b1g_8XwiAQ81HSby,T7_GT30_LE50_OTHER_CB_O,esriFieldTypeInteger,,Owner occupied AND household income is greater than 30% but less than or equal to 50% of HAMFI AND other household type (non-elderly non-family) AND housing cost burden is greater than 30%,,,
b1g_8XwiAQ81HSby,T7_GT50_LE80_OTHER_CB_O,esriFieldTypeInteger,,Owner occupied AND household income is greater than 50% but less than or equal to 80% of HAMFI AND other household type (non-elderly non-family) AND housing cost burden is greater than 30%,,,
b1g_8XwiAQ81HSby,T7_OTHER_CB_O,esriFieldTypeInteger,,Owner occupied AND other household type (non-elderly non-family) AND housing cost burden is greater than 30%,,,
b1g_8XwiAQ81HSby,T7_EST117,esriFieldTypeInteger,,"Renter occupied AND household income is less than or equal to 30% of HAMFI AND household type is small family (2 persons, neither person 62 years or over, or 3 or 4 persons) AND housing cost burden is greater than 50%",,,
b1g_8XwiAQ81HSby,T7_EST143,esriFieldTypeInteger,,"Renter occupied AND household income is greater than 30% but less than or equal to 50% of HAMFI AND household type is small family (2 persons, neither person 62 years or over, or 3 or 4 persons) AND housing cost burden is greater than 50%",,,
b1g_8XwiAQ81HSby,T7_EST169,esriFieldTypeInteger,,"Renter occupied AND household income is greater than 50% but less than or equal to 80% of HAMFI AND household type is small family (2 persons, neither person 62 years or over, or 3 or 4 persons) AND housing cost burden is greater than 50%",,,
b1g_8XwiAQ81HSby,T7_SF_CB50_R,esriFieldTypeInteger,,"Renter occupied AND household type is small family (2 persons, neither person 62 years or over, or 3 or 4 persons) AND housing cost burden is greater than 50%",,,
b1g_8XwiAQ81HSby,T7_EST12,esriFieldTypeInteger,,"Owner occupied AND household income is less than or equal to 30% of HAMFI AND household type is small family (2 persons, neither person 62 years or over, or 3 or 4 persons) AND housing cost burden is greater than 50%",,,
b1g_8XwiAQ81HSby,T7_EST38,esriFieldTypeInteger,,"Owner occupied AND household income is greater than 30% but less than or equal to 50% of HAMFI AND household type is small family (2 persons, neither person 62 years or over, or 3 or 4 persons) AND housing cost burden is greater than 50%",,,
